,number,story_id,judul,sentence_id,word,type
0,0,7,Tuah Burung Merbak,0,Alkisah,O
1,0,7,Tuah Burung Merbak,0,Rakyat,O
2,0,7,Tuah Burung Merbak,0,Tersebutlah,O
3,0,7,Tuah Burung Merbak,0,kisah,O
4,0,7,Tuah Burung Merbak,0,di,O
5,0,7,Tuah Burung Merbak,0,zaman,O
6,0,7,Tuah Burung Merbak,0,dahulu,O
7,0,7,Tuah Burung Merbak,0,kala,O
8,0,7,Tuah Burung Merbak,0,daerah,O
9,0,7,Tuah Burung Merbak,0,Sumatera,O
10,0,7,Tuah Burung Merbak,0,Timur,O
11,0,7,Tuah Burung Merbak,0,masih,O
12,0,7,Tuah Burung Merbak,0,merupakan,O
13,0,7,Tuah Burung Merbak,0,hutan,O
14,0,7,Tuah Burung Merbak,0,belukar,O
15,0,7,Tuah Burung Merbak,0,.,O
16,0,7,Tuah Burung Merbak,1,Penduduknya,O
17,0,7,Tuah Burung Merbak,1,jarang,O
18,0,7,Tuah Burung Merbak,1,tempat,O
19,0,7,Tuah Burung Merbak,1,tinggalnya,O
20,0,7,Tuah Burung Merbak,1,masih,O
21,0,7,Tuah Burung Merbak,1,berpencar,O
22,0,7,Tuah Burung Merbak,1,pencar,O
23,0,7,Tuah Burung Merbak,1,.,O
24,0,7,Tuah Burung Merbak,2,Pada,O
25,0,7,Tuah Burung Merbak,2,suatu,O
26,0,7,Tuah Burung Merbak,2,kampung,O
27,0,7,Tuah Burung Merbak,2,tinggal,O
28,0,7,Tuah Burung Merbak,2,sepasang,O
29,0,7,Tuah Burung Merbak,2,suami,O
30,0,7,Tuah Burung Merbak,2,istri,O
31,0,7,Tuah Burung Merbak,2,.,O
32,0,7,Tuah Burung Merbak,3,Mereka,O
33,0,7,Tuah Burung Merbak,3,mempunyai,O
34,0,7,Tuah Burung Merbak,3,dua,O
35,0,7,Tuah Burung Merbak,3,orang,O
36,0,7,Tuah Burung Merbak,3,anak,O
37,0,7,Tuah Burung Merbak,3,lakilaki,O
38,0,7,Tuah Burung Merbak,3,.,O
39,0,7,Tuah Burung Merbak,4,Anak,O
40,0,7,Tuah Burung Merbak,4,yang,O
41,0,7,Tuah Burung Merbak,4,sulung,O
42,0,7,Tuah Burung Merbak,4,bernama,O
43,0,7,Tuah Burung Merbak,4,Ahmad,B-TOKOH
44,0,7,Tuah Burung Merbak,4,dan,O
45,0,7,Tuah Burung Merbak,4,anak,O
46,0,7,Tuah Burung Merbak,4,kedua,O
47,0,7,Tuah Burung Merbak,4,bernama,O
48,0,7,Tuah Burung Merbak,4,Muhammad,B-TOKOH
49,0,7,Tuah Burung Merbak,4,.,O
50,0,7,Tuah Burung Merbak,5,Mereka,O
51,0,7,Tuah Burung Merbak,5,tinggal,O
52,0,7,Tuah Burung Merbak,5,disebuah,O
53,0,7,Tuah Burung Merbak,5,gubuk,O
54,0,7,Tuah Burung Merbak,5,tua,O
